SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,7.5
1,0,0,5,AODV,7.5
2,0,0,5,AODV,7.5
3,0,0,5,AODV,7.5
4,0,0,5,AODV,7.5
5,0,0,5,AODV,7.5
6,0,0,5,AODV,7.5
7,0,0,5,AODV,7.5
8,0,0,5,AODV,7.5
9,0,0,5,AODV,7.5
10,0,0,5,AODV,7.5
11,6.144,12,5,AODV,7.5
12,26.112,51,5,AODV,7.5
13,25.6,50,5,AODV,7.5
14,25.6,50,5,AODV,7.5
15,25.088,49,5,AODV,7.5
16,25.6,50,5,AODV,7.5
17,25.6,50,5,AODV,7.5
18,25.6,50,5,AODV,7.5
19,25.6,50,5,AODV,7.5
20,25.6,50,5,AODV,7.5
21,25.088,49,5,AODV,7.5
22,23.04,45,5,AODV,7.5
23,16.384,32,5,AODV,7.5
24,21.504,42,5,AODV,7.5
25,31.744,62,5,AODV,7.5
26,26.112,51,5,AODV,7.5
27,25.6,50,5,AODV,7.5
28,25.6,50,5,AODV,7.5
29,25.6,50,5,AODV,7.5
