SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
0,0,0,5,AODV,7.5
1,0,0,5,AODV,7.5
2,0,0,5,AODV,7.5
3,0,0,5,AODV,7.5
4,0,0,5,AODV,7.5
5,0,0,5,AODV,7.5
6,0,0,5,AODV,7.5
7,0,0,5,AODV,7.5
8,0,0,5,AODV,7.5
9,0,0,5,AODV,7.5
10,0,0,5,AODV,7.5
11,18.944,37,5,AODV,7.5
12,25.6,50,5,AODV,7.5
13,25.6,50,5,AODV,7.5
14,25.6,50,5,AODV,7.5
15,25.6,50,5,AODV,7.5
16,25.6,50,5,AODV,7.5
17,25.6,50,5,AODV,7.5
18,25.6,50,5,AODV,7.5
19,25.6,50,5,AODV,7.5
20,25.6,50,5,AODV,7.5
21,25.6,50,5,AODV,7.5
22,25.6,50,5,AODV,7.5
23,25.6,50,5,AODV,7.5
24,18.944,37,5,AODV,7.5
25,14.848,29,5,AODV,7.5
26,10.24,20,5,AODV,7.5
27,13.824,27,5,AODV,7.5
28,19.968,39,5,AODV,7.5
29,30.72,60,5,AODV,7.5
